shape,Cin,Cout,H,W,freq,precision,gn_base,gn_modiff,conv_base,conv_modiff,a_hat_ms,o_hat_ms,modiff_total_ms,base_total_ms,a_hat_pct,o_hat_pct,block_ratio
"1536->768,2x2",1536,768,2,2,3,W8A8,0.013052199967205524,0.02891759965568781,0.13588399887084962,0.13710039854049683,0.015865399688482284,0.0012163996696472057,0.16601799819618462,0.14893619883805514,9.556433555917252,0.7326914448214089,1.1146920593609568
"1536->768,2x2",1536,768,2,2,3,W4A4,0.013828799780458211,0.02871139980852604,0.07007860094308853,0.07272139936685562,0.014882600028067829,0.0026427984237670926,0.10143279917538166,0.08390740072354674,14.672374369098478,2.6054673096397356,1.208865943894229
"1536->768,4x4",1536,768,4,4,2,W8A8,0.0315020002424717,0.0953390009701252,0.2700483977794647,0.2749882012605667,0.0638370007276535,0.004939803481102012,0.37032720223069193,0.3015503980219364,17.23799935384893,1.3339024115287126,1.2280773119846864
"1536->768,4x4",1536,768,4,4,2,W4A4,0.03202720060944557,0.09292920008301735,0.13605020195245743,0.138468399643898,0.06090199947357178,0.0024181976914405823,0.23139759972691537,0.168077402561903,26.319201039874862,1.0450400930236208,1.3767323637791908
"768->384,8x8",768,384,8,8,2,W8A8,0.058384399861097336,0.1490347981452942,0.21446279883384706,0.22180600166320802,0.09065039828419685,0.007343202829360962,0.3708407998085022,0.2728471986949444,24.444559048251335,1.9801496580616007,1.3591519413879676
"768->384,8x8",768,384,8,8,2,W4A4,0.058987199887633325,0.14398359954357148,0.10869520008563996,0.11215679943561555,0.08499639965593817,0.003461599349975586,0.25614039897918706,0.16768239997327328,33.183519661357536,1.35144606777038,1.527532997023021
"768->384,16x16",768,384,16,16,2,W8A8,0.22760140001773835,0.44483719766139984,0.7316266000270844,0.7572444021701813,0.2172357976436615,0.025617802143096946,1.202081599831581,0.9592280000448227,18.071634876875045,2.131120062621885,1.2531760955428848
"768->384,16x16",768,384,16,16,2,W4A4,0.23387499898672104,0.42767120003700254,0.36804059743881223,0.3835264027118683,0.1937962010502815,0.015485805273056041,0.8111976027488708,0.6019155964255333,23.890134831953713,1.909005305314014,1.347693277207229
"384->192,32x32",384,192,32,32,2,W8A8,0.5464897990226746,0.8259277939796448,0.9676845967769623,1.026082992553711,0.2794379949569702,0.05839839577674866,1.8520107865333557,1.5141743957996368,15.08835677356015,3.153242745743418,1.2231159050574933
"384->192,32x32",384,192,32,32,2,W4A4,0.5064478039741516,0.793198412656784,0.4916538029909134,0.5105575978755951,0.28675060868263247,0.01890379488468169,1.303756010532379,0.998101606965065,21.994192653082383,1.4499488195619106,1.3062357594000071
"192->192,16x16",192,192,16,16,1,W8A8,0.07917720004916191,0.12378400042653084,0.20151439905166627,0.20585199892520906,0.04460680037736893,0.004337599873542791,0.32963599935173993,0.2806915991008282,13.5321386211131,1.315875657413962,1.1743707343137486
"192->192,16x16",192,192,16,16,1,W4A4,0.07223760038614273,0.11958099976181984,0.09956740066409112,0.1013833999633789,0.04734339937567711,0.0018159992992877877,0.22096439972519874,0.17180500105023383,21.42580408181385,0.8218515297243565,1.286134852736861
"192->384,16x16",192,384,16,16,1,W8A8,0.07917720004916191,0.12378400042653084,0.2980815976858139,0.3004795968532562,0.04460680037736893,0.0023979991674423218,0.424263597279787,0.3772587977349758,10.51393536079229,0.5652144522455753,1.1245956352165234
"192->384,16x16",192,384,16,16,1,W4A4,0.07223760038614273,0.11958099976181984,0.14098339825868605,0.1471892014145851,0.04734339937567711,0.006205803155899053,0.26677020117640493,0.2132209986448288,17.74688445969673,2.3262729977083882,1.2511441315438885
"384->384,4x4",384,384,4,4,1,W8A8,0.013410599995404482,0.025283599644899367,0.039376200735569,0.04160779975354671,0.011872999649494885,0.0022315990179777104,0.06689139939844607,0.052786800730973485,17.74966551196222,3.3361523873718686,1.2671993466578189
