shape,Cin,Cout,H,W,freq,precision,gn_base,gn_modiff,conv_base,conv_modiff,a_hat_ms,o_hat_ms,modiff_total_ms,base_total_ms,a_hat_pct,o_hat_pct,block_ratio
"768->384,8x8",768,384,8,8,2,W8A8,0.05968090295791626,0.1502935528755188,0.23211724758148194,0.23850529193878173,0.09061264991760254,0.0063880443572997825,0.3887988448143005,0.2917981505393982,23.305791960591158,1.6430204056678366,1.3324239516103629
"768->384,8x8",768,384,8,8,2,W4A4,0.06083570122718811,0.14572864770889282,0.11672550439834595,0.11972490549087525,0.08489294648170471,0.0029994010925293024,0.26545355319976804,0.17756120562553407,31.980339105808923,1.129915594036932,1.4949974701095106
"768->384,16x16",768,384,16,16,2,W8A8,0.2275787591934204,0.44677248001098635,0.8096970558166504,0.8333812713623047,0.21919372081756594,0.023684215545654252,1.280153751373291,1.0372758150100707,17.122452719638158,1.8501071078569193,1.2341498113121072
"768->384,16x16",768,384,16,16,2,W4A4,0.23360950946807862,0.43223094940185547,0.40468459129333495,0.41766672134399413,0.19862143993377684,0.01298213005065918,0.8498976707458497,0.6382941007614136,23.37004168507386,1.5274933086081264,1.3315142184958575
"384->192,32x32",384,192,32,32,2,W8A8,0.5438918113708496,0.8258229255676269,1.0675977706909179,1.1183022499084472,0.2819311141967773,0.0507044792175293,1.9441251754760742,1.6114895820617674,14.501695557115475,2.608087167284013,1.2064149822108854
"384->192,32x32",384,192,32,32,2,W4A4,0.5092905998229981,0.7977357387542725,0.5344131469726563,0.5513959407806397,0.28844513893127444,0.0169827938079834,1.3491316795349122,1.0437037467956545,21.380058248332773,1.2587943834984217,1.2926385324159013
"192->192,16x16",192,192,16,16,1,W8A8,0.07888280153274536,0.1260095000267029,0.20895864963531494,0.21439549922943116,0.04712669849395752,0.005436849594116222,0.34040499925613404,0.2878414511680603,13.844302697357728,1.5971709011316029,1.182612851188635
"192->192,16x16",192,192,16,16,1,W4A4,0.07484264969825745,0.12295634746551513,0.10319839715957642,0.1057294487953186,0.048113697767257685,0.0025310516357421875,0.22868579626083374,0.17804104685783387,21.03921561983688,1.1067813030483662,1.2844554685383298
"192->384,16x16",192,384,16,16,1,W8A8,0.080138897895813,0.12623300552368164,0.31454474925994874,0.32145326137542723,0.04609410762786864,0.006908512115478493,0.44768626689910884,0.39468364715576176,10.29607362029188,1.5431592671649685,1.1342914005312958
"192->384,16x16",192,384,16,16,1,W4A4,0.07748270034790039,0.1229777455329895,0.1506216049194336,0.15512720346450806,0.04549504518508911,0.004505598545074457,0.27810494899749755,0.228104305267334,16.358948429032985,1.6201072873086482,1.2192007891809131
"384->384,4x4",384,384,4,4,1,W8A8,0.01315075010061264,0.025292301177978517,0.03966360092163086,0.04178924858570099,0.012141551077365876,0.0021256476640701266,0.0670815497636795,0.0528143510222435,18.099687798119078,3.16875157410426,1.2701386737749967
"384->384,4x4",384,384,4,4,1,W4A4,0.013706600666046143,0.02447350025177002,0.022119100391864776,0.026475799083709717,0.010766899585723877,0.004356698691844942,0.05094929933547974,0.03582570105791092,21.132576357583183,8.551047313051177,1.4221438194083649
"384->768,4x4",384,768,4,4,1,W8A8,0.01297370046377182,0.02490690052509308,0.0790382981300354,0.08484445214271545,0.011933200061321259,0.005806154012680045,0.10975135266780853,0.09201199859380722,10.87294121780917,5.290280139192365,1.1927939219352555
"384->768,4x4",384,768,4,4,1,W4A4,0.013714249432086944,0.024510949850082397,0.04046564996242523,0.043852150440216064,0.010796700417995454,0.0033865004777908353,0.06836310029029846,0.054179899394512177,15.793169666308469,4.953696458192111,1.2617797569632048
"1152->768,4x4",1152,768,4,4,1,W8A8,0.026996850967407227,0.06004704833030701,0.21637139320373536,0.21992061138153077,0.03305019736289978,0.00354921817779541,0.2799676597118378,0.24336824417114258,11.805005405594828,1.2677243441076418,1.1503869811172143
"1152->768,4x4",1152,768,4,4,1,W4A4,0.02656340003013611,0.058564800024032596,0.1081315517425537,0.11048425436019897,0.032001399993896486,0.0023527026176452664,0.16904905438423157,0.1346949517726898,18.93024489871473,1.3917277598594602,1.2550511519505014
"768->768,8x8",768,768,8,8,1,W8A8,0.06257190108299256,0.15369000434875488,0.40769200325012206,0.4211794376373291,0.09111810326576232,0.013487434387207065,0.574869441986084,0.4702639043331146,15.85022556616743,2.3461734790790216,1.2224400739438241
"768->768,8x8",768,768,8,8,1,W4A4,0.0640317976474762,0.14941664934158325,0.2002591609954834,0.20814204216003418,0.08538485169410705,0.00788288116455077,0.35755869150161745,0.2642909586429596,23.879954179136718,2.2046397841555785,1.35289793240584
"1152->384,8x8",1152,384,8,8,1,W8A8,0.08913304805755615,0.1941547989845276,0.3435601472854614,0.35069220066070556,0.10502175092697144,0.007132053375244141,0.5448469996452332,0.43269319534301753,19.27545732937033,1.309001128736699,1.2591993715392398
