shape,M,N,K,method,median_ms,mean_ms,min_ms,max_ms,tops,max_abs_err_vs_ours_fused
ldm_attn_proj,5376,512,512,ours_triton_fused_quant_gemm,0.13411200046539307,0.13537279963493348,0.13232000172138214,0.14153599739074707,21.01655540308877,0.0
ldm_attn_proj,5376,512,512,ours_triton_gemm_only_scalar_quant,0.12774400413036346,0.13141119927167894,0.12540799379348755,0.14908799529075623,22.06422373549236,0.07104602456092834
ldm_attn_proj,5376,512,512,awq_raw_quant_plus_gemm,0.13065600395202637,0.13127199858427047,0.12940800189971924,0.13631999492645264,21.572466650938672,0.016693115234375
ldm_attn_proj,5376,512,512,awq_integrated_safe_quant_plus_gemm,0.13158400356769562,0.13155680075287818,0.1297920048236847,0.13468800485134125,21.42032626747018,0.016693115234375
ldm_attn_proj,5376,512,512,awq_gemm_only_awq_quant,0.08323200047016144,0.08412639982998371,0.08265600353479385,0.0923520028591156,33.864045944810066,0.016693115234375
ldm_attn_proj,5376,512,512,awq_gemm_only_scalar_quant,0.1037760004401207,0.10415199995040894,0.10255999863147736,0.10992000252008438,27.160155296467906,0.07080078125
ldm_attn_proj,5376,512,512,awq_integrated_safe_gemm_only_scalar,0.1034879982471466,0.10377919934689998,0.10233599692583084,0.10662399977445602,27.235740721052302,0.07080078125
ldm_ffn,5376,2048,512,ours_triton_fused_quant_gemm,0.29548799991607666,0.2968784004449844,0.2937920093536377,0.31625598669052124,38.15481222656107,0.0
ldm_ffn,5376,2048,512,ours_triton_gemm_only_scalar_quant,0.22630399465560913,0.22620319947600365,0.22355200350284576,0.23212799429893494,49.81922289598681,0.0774858295917511
ldm_ffn,5376,2048,512,awq_raw_quant_plus_gemm,0.22198399901390076,0.22284959852695466,0.22012799978256226,0.23254400491714478,50.78874694609857,0.0166015625
ldm_ffn,5376,2048,512,awq_integrated_safe_quant_plus_gemm,0.22409600019454956,0.22418559864163398,0.22153599560260773,0.23017600178718567,50.31008649066558,0.0166015625
ldm_ffn,5376,2048,512,awq_gemm_only_awq_quant,0.17423999309539795,0.1748543992638588,0.1727679967880249,0.18108800053596497,64.70551881752672,0.0166015625
ldm_ffn,5376,2048,512,awq_gemm_only_scalar_quant,0.19443200528621674,0.19460960179567338,0.1929280012845993,0.19862399995326996,57.98576800873654,0.077392578125
ldm_ffn,5376,2048,512,awq_integrated_safe_gemm_only_scalar,0.19443200528621674,0.19436320066452026,0.1927040070295334,0.1976960003376007,57.98576800873654,0.077392578125
small_decode,128,4096,4096,ours_triton_fused_quant_gemm,0.1745920032262802,0.1750911995768547,0.1722240000963211,0.1825920045375824,24.600023005827484,0.0
small_decode,128,4096,4096,ours_triton_gemm_only_scalar_quant,0.1430400013923645,0.1435872010886669,0.14083200693130493,0.14870400726795197,30.02633706789985,0.07500487565994263
small_decode,128,4096,4096,awq_raw_quant_plus_gemm,0.09100800007581711,0.0916064005345106,0.08908800035715103,0.09721600264310837,47.19329391286415,52.794921875
small_decode,128,4096,4096,awq_integrated_safe_quant_plus_gemm,0.6452159881591797,0.6456240057945252,0.6394879817962646,0.6646720170974731,6.65663494832741,0.00390625
small_decode,128,4096,4096,awq_gemm_only_awq_quant,0.06960000097751617,0.07049599960446358,0.06889600306749344,0.08108799904584885,61.709299363191974,35.519287109375
small_decode,128,4096,4096,awq_gemm_only_scalar_quant,0.08854400366544724,0.08898240067064762,0.08745600283145905,0.0939520001411438,48.50658563202102,66.06298828125
small_decode,128,4096,4096,awq_integrated_safe_gemm_only_scalar,0.6333760023117065,0.6339423924684524,0.6291519999504089,0.650111973285675,6.781070454712769,0.0751953125
