H,K_or_Cin,M_or_B,N_or_Cout,W,backend,kernel,kind,max_abs_err_vs_fp16_backend,max_ms,mean_ms,median_ms,min_ms,padding,round_median_ms_max,round_median_ms_min,round_median_ms_stdev,rounds,shape,stride,tops
16,256,42,512,16,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.23180800676345825,0.20706463918089868,0.206496000289917,0.20563200116157532,1,0.21104000508785248,0.2043199986219406,0.0034288348303904924,3,down_256_512_16,1,122.84572367689901
8,512,42,512,8,torch_fp16_cudnn_conv2d,3,conv,,0.16655999422073364,0.1283273606002331,0.1279360055923462,0.12742400169372559,1,0.13385599851608276,0.1279039978981018,0.0034271867001479904,3,mid_512_8,1,99.13999766738692
8,512,42,512,8,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.12800000607967377,0.09858976028859616,0.09859199821949005,0.09628800302743912,1,0.09904000163078308,0.09484799951314926,0.0023018512522119425,3,mid_512_8,1,128.6471065102387
16,512,42,256,16,torch_fp16_cudnn_conv2d,3,conv,,0.2624000012874603,0.2236838398873806,0.22406400740146637,0.2194560021162033,1,0.22883200645446777,0.2208320051431656,0.004024501512566915,3,up_512_256_16,1,113.213857442746
16,512,42,256,16,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.22950400412082672,0.20441824033856393,0.20348800718784332,0.2022400051355362,1,0.21270400285720825,0.20147199928760529,0.005988276995084495,3,up_512_256_16,1,124.66164931569232
32,256,42,128,32,torch_fp16_cudnn_conv2d,3,conv,,0.2973119914531708,0.262047361433506,0.26175999641418457,0.25859200954437256,1,0.2630079984664917,0.25836798548698425,0.0024011444390403622,3,up_256_128_32,1,96.9099592737669
32,256,42,128,32,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.33219200372695923,0.30776512026786806,0.3075520098209381,0.3047359883785248,1,0.3103039860725403,0.3062080144882202,0.002087928796810661,3,up_256_128_32,1,82.48084805808675
64,128,42,128,64,torch_fp16_cudnn_conv2d,3,conv,,0.6287999749183655,0.5952470409870148,0.5948799848556519,0.5927680134773254,1,0.5949119925498962,0.5903679728507996,0.002614300156517379,3,up_128_64,1,85.28493557622505
64,128,42,128,64,OptimizedInt8Conv2d benchmark_ldm baseline,3,conv,,0.7684159874916077,0.7178153592348099,0.7171199917793274,0.7111679911613464,1,0.7226240038871765,0.717024028301239,0.003205804236994013,3,up_128_64,1,70.7472971965506
16,320,42,320,16,torch_fp16_cudnn_conv2d,1,conv,,0.12639999389648438,0.09838912010192871,0.11100800335407257,0.06639999896287918,0,0.11366400122642517,0.06787200272083282,0.0257056284448399,3,pointwise_320_16,1,19.83649406769746
16,320,42,320,16,OptimizedInt8Conv2d benchmark_ldm baseline,1,conv,,0.14467200636863708,0.12233119994401932,0.12211199849843979,0.12080000340938568,0,0.12214399874210358,0.12201599776744843,6.66138192095387e-05,3,pointwise_320_16,1,18.03270462425635
,320,2688,320,,fp16,,linear,0.0,0.04960000142455101,0.04086400009691715,0.040383998304605484,0.03932800143957138,,0.041760001331567764,0.04016000032424927,0.0008663681520032564,3,attn_proj_320_m2688,,13.63169629336131
,320,2688,320,,int_gemm,,linear,4.12890625,0.33404800295829773,0.22596511974930764,0.22166399657726288,0.20614400506019592,,0.33446401357650757,0.2088959962129593,0.0691064307824594,3,attn_proj_320_m2688,,2.4834993887160994
,320,5376,320,,fp16,,linear,0.0,0.06169600039720535,0.04714911989867687,0.046720001846551895,0.045343998819589615,,0.04684799909591675,0.046592000871896744,0.00012799911201451968,3,attn_proj_320_m5376,,23.56602646584138
