shape,M,N,K,method,median_ms,mean_ms,min_ms,max_ms,tops,max_abs_err_vs_ours_fused
ldm_attn_proj,5376,512,512,awq_gemm_only_awq_quant,0.04639999940991402,0.04690240018069744,0.04499199986457825,0.0660799965262413,60.745093186310946,0.016693115234375
ldm_attn_proj,5376,512,512,awq_gemm_only_scalar_quant,0.055615998804569244,0.06370560012757778,0.05152000114321709,0.09494400024414062,50.67916334478262,0.07080078125
ldm_attn_proj,5376,512,512,awq_integrated_safe_gemm_only_scalar,0.07135999947786331,0.06971328005194664,0.051872000098228455,0.08707199990749359,39.49793033384695,0.07080078125
ldm_ffn,5376,2048,512,ours_triton_fused_quant_gemm,0.2372799962759018,0.23892991989850998,0.23583999276161194,0.316895991563797,47.51470553333373,0.0
ldm_ffn,5376,2048,512,ours_triton_gemm_only_scalar_quant,0.1475840061903,0.14911616057157517,0.14550399780273438,0.2223680019378662,76.39235065527721,0.0774858295917511
ldm_ffn,5376,2048,512,awq_raw_quant_plus_gemm,0.16732800006866455,0.16780096024274826,0.16540800034999847,0.18943999707698822,67.37837748239083,0.0166015625
ldm_ffn,5376,2048,512,awq_integrated_safe_quant_plus_gemm,0.16767999529838562,0.16763391941785813,0.16582399606704712,0.1810240000486374,67.23693623641547,0.0166015625
ldm_ffn,5376,2048,512,awq_gemm_only_awq_quant,0.137472003698349,0.13777344018220902,0.13555200397968292,0.16470399498939514,82.01152851993675,0.0166015625
ldm_ffn,5376,2048,512,awq_gemm_only_scalar_quant,0.13945600390434265,0.14034112006425858,0.13817599415779114,0.18425600230693817,80.84477423957593,0.077392578125
ldm_ffn,5376,2048,512,awq_integrated_safe_gemm_only_scalar,0.1393599957227707,0.14019136041402816,0.13792000710964203,0.17987200617790222,80.90046999160347,0.077392578125
small_decode,128,4096,4096,ours_triton_fused_quant_gemm,0.11603199690580368,0.11723008006811142,0.1151999980211258,0.17315199971199036,37.01536998873433,0.0
small_decode,128,4096,4096,ours_triton_gemm_only_scalar_quant,0.07897599786520004,0.08712959989905357,0.07676800340414047,0.15750400722026825,54.38319758024271,0.07500487565994263
small_decode,128,4096,4096,awq_raw_quant_plus_gemm,0.052671998739242554,0.055979519709944726,0.050175998359918594,0.07414399832487106,81.54175650828478,51.1640625
small_decode,128,4096,4096,awq_integrated_safe_quant_plus_gemm,0.43324801325798035,0.43482752084732057,0.43055999279022217,0.5141440033912659,9.913414867623489,0.00390625
small_decode,128,4096,4096,awq_gemm_only_awq_quant,0.040031999349594116,0.04220736004412174,0.03798399865627289,0.05852799862623215,107.288353461755,30.917236328125
small_decode,128,4096,4096,awq_gemm_only_scalar_quant,0.05257600173354149,0.05566336005926132,0.05110400170087814,0.07599999755620956,81.6906412504923,65.3798828125
small_decode,128,4096,4096,awq_integrated_safe_gemm_only_scalar,0.4302400052547455,0.4312665593624115,0.4272960126399994,0.4856640100479126,9.982724162196273,0.0751953125
